5e548088-cf30-45f5-8ad9-82588f91c018,(Professionele) deelnemers/relaties binnen diverse VSP-projecten
d57e3ee7-56de-4d6f-9282-3f2c1ed575cf,ADHOC-uitvragen IT-voorziening SSCC (operationele data)
5f18ef3b-7170-4207-9a3d-6577e8a989f8,AERIUS
d00014b8-36d6-420a-a4a2-486f3530c849,AIOS stagiaires LCI
39a9b56c-af4f-4d8b-94eb-729b5d5c973c,AREND
d39d52f4-ac45-4b64-9ab6-f6ecfe624140,ARI-EL studie
db9f9dc4-46c9-4d3b-a25f-382bb3af3376,ARI-EL studie
a18f04c9-c2cc-4486-bfa1-566e44f1ed7f,AVG template
b57e6176-f87d-45d8-86f2-ba24777e786a,Aanbesteding SSC campus
e2999ddb-a8e9-436c-90de-376483cb1c17,Aanstellingen beheren
2b8a967c-a37a-4da6-b5ea-733fe9747ab7,Aantal levensmiddelenwinkels binnen 1 km
4c76bd0e-c092-4af4-b3ac-dce302568898,Abonnees Nieuwsbrief Centrum Gezond Leven
8418c660-7d8a-4f83-872e-265ba2e47577,Abonnees e-magazine Omgevingsveiligheid
951682cb-3f89-4e5e-80b2-8fcc9f3dd24e,Abonnes Nieuwsbrief Voeding
c2d8af57-0da0-4a0c-b260-29b1db6a649f,Acceptatie maternale vaccinatie forum studie (IIV-369)
329aae59-6b79-401c-a5fa-241c20965441,Accounts nieuwsbrief
b71a9202-c7dc-4ad3-ae37-af2030f4cc4d,Adreslijsten papieren nieuwsbrieven
752220ab-7a16-4d2c-ae54-489bee3d6373,Adressenbestand nieuwsbrief RAC
cf142f50-820c-4845-9adb-c5337562317d,Adressenlijst Labs on the move
08b27bf0-e34a-4b30-9eac-5edadfb6a288,Afgevoerde hoeveelheid afval in 2015 vanuit de industrie
03c39474-aef9-4169-95da-9890af440b14,Afgevoerde hoeveelheid afval in 2015 vanuit de industrie (WFS)
c56433ca-35f2-4aaf-8bfa-35d8e0e52dda,Afgevoerde hoeveelheid afval in 2015 vanuit de industrie (WMS)
9d3d3e62-0773-4587-bba3-73d1d5ccac22,Afhandelen bestellingen rabiës immunoglobuline
b0b9b10c-a58d-44d7-969d-05259bac17e5,Afstand tot dichtstbijzijnde huisartspraktijk
c7082e19-c0a0-4ea8-9f25-5c4709b2b59b,Ageing study (NVI-247)
9f80789f-fd31-4a37-9795-4c97ba423150,Ammoniak (NH3) emissies naar lucht 2014 per Gemeente
a62118f5-010f-4d47-a4e1-bd85fb91dd63,Ammoniak (NH3) emissies naar lucht 2014 per Vierkant
ef41e893-cb74-4907-b310-ee80806e444f,Analistennetwerk nationale veiligheid
fa3bd3c6-9a2c-4e79-8f9d-34d7f6b52eaf,Analyse van factoren die de dalende HPV-vaccinatiegraad beinvloeden
8cca7ac0-924a-476f-a563-c958cfcbcef3,BEO-database agrarische bedrijven
cc5e8363-6fb9-4417-a780-403735293c9d,BMR-0 onderzoek
a7660bf2-7ce0-42f1-a70e-428c288535e1,BMR3-studie (IIV-291)
1de4a8fe-c936-4a74-ac11-e14e7711620a,BMRnul-EMI (IIV-273)
9ebedea2-9497-4740-989c-8ee0b0ec9e1a,BPMone
c762a8bd-e445-4d42-9eab-e13286360630,BSN-gebruik natuurlijke personen tbv fiscale aangifte IB47
3f17adc7-9041-4091-9b76-4f72a3573398,Belevingswaarde van het landschap
f1238032-ab12-4e58-9e98-00786fc2c805,Besluitvorming MenACWY ouders-kind
9df07a5b-ae6f-4b05-9477-cd1fd5882b1a,Bestand RIVM Magazine (online magazine van het RIVM)
e16117fe-c756-41e6-88e0-67149128fe35,Bewaking processtappen voor HepB positieve zwangeren dmv papieren dossier
cd7867d8-8b95-4ae7-91e3-d7443788f298,Bezetting
f504c1f1-b574-4521-81f4-0a7cd47d9e95,BiZZdesign Enterprise Studio
7c9e6d30-4660-4f80-ae7a-f006b3c6f667,Biomassa - bermmaaisel
cc68feb2-7c36-4632-a2fe-86b02b412541,Biomassa landbouwgebied - stengel en bladresten
1b80b143-633e-48c7-a201-0e10c52882d1,Biomassa landbouwgebied - stro
2b437494-6899-4a18-8fc6-ae50dd713105,Biomassa natuurgebied - grasmaaisel
